"","year","month","day","avg.max.temp"
"693",1980,11,23,286.302905826778
"694",1980,11,24,285.659081740606
"695",1980,11,25,285.274898878384
"696",1980,11,26,285.073536369128
"697",1980,11,27,285.074355073028
"698",1980,11,28,285.529868325034
"699",1980,11,29,286.2066043728
"700",1980,11,30,286.109003440102
"701",1980,12,1,285.082620493571
"702",1980,12,2,283.899080507048
"703",1980,12,3,283.811819553026
"704",1980,12,4,283.779773628319
"705",1980,12,5,283.530624023549
"706",1980,12,6,283.472364728879
"707",1980,12,7,283.671842087407
"708",1980,12,8,284.069778487097
"709",1980,12,9,283.858419249259
"710",1980,12,10,282.675648165972
"711",1980,12,11,282.949845914177
"712",1980,12,12,283.298733037033
"713",1980,12,13,283.804461804065
"714",1980,12,14,283.581593817407
"715",1980,12,15,283.61844948849
"716",1980,12,16,284.198375461564
"717",1980,12,17,285.175535021771
"718",1980,12,18,284.24346613063
"719",1980,12,19,281.970024008279
"720",1980,12,20,280.166115564479
"721",1980,12,21,279.381909730234
"722",1980,12,22,280.450442099659
"723",1980,12,23,282.138873223944
"724",1980,12,24,282.345711780031
"725",1980,12,25,282.021715143225
"726",1980,12,26,281.816353011917
"727",1980,12,27,283.497939526904
"728",1980,12,28,285.331748599098
"729",1980,12,29,285.071081204816
"730",1980,12,30,284.477070676363
"731",1980,12,31,283.982899874733
"732",1981,1,1,283.658649693304
"733",1981,1,2,282.675449656392
"734",1981,1,3,281.846119326637
"735",1981,1,4,281.638960981544
"736",1981,1,5,282.054374415359
"737",1981,1,6,282.228334146018
"738",1981,1,7,282.393096703051
"739",1981,1,8,282.157103502881
"740",1981,1,9,281.064819894868
"741",1981,1,10,281.135795126555
"742",1981,1,11,281.2481507214
"743",1981,1,12,281.403653619228
"744",1981,1,13,281.845592532315
"745",1981,1,14,282.554812728267
"746",1981,1,15,282.711215064639
"747",1981,1,16,282.161096666497
"748",1981,1,17,282.282870433095
"749",1981,1,18,282.679671606825
"750",1981,1,19,283.430848816812
"751",1981,1,20,284.037088409536
"752",1981,1,21,284.181902782734
"753",1981,1,22,284.389707502428
"754",1981,1,23,284.468779402513
"755",1981,1,24,284.328601255871
"756",1981,1,25,284.201951573969
"757",1981,1,26,284.05095448197
"758",1981,1,27,283.473182848696
"759",1981,1,28,282.98816147689
"760",1981,1,29,282.291890383989
"761",1981,1,30,282.034213234479
"762",1981,1,31,281.990414551676
"763",1981,2,1,282.512793572394
"764",1981,2,2,282.453600350404
"765",1981,2,3,281.466064386053
"766",1981,2,4,280.413857856164
"767",1981,2,5,280.523314767355
"768",1981,2,6,281.816168126256
"769",1981,2,7,282.725103533399
"770",1981,2,8,282.954450239803
"771",1981,2,9,282.386537869073
"772",1981,2,10,281.336173061049
"773",1981,2,11,282.611245598985
"774",1981,2,12,282.487996869209
"775",1981,2,13,282.562877163171
"776",1981,2,14,284.221773506696
"777",1981,2,15,285.821189055949
"778",1981,2,16,287.217982270517
"779",1981,2,17,287.86313241253
"780",1981,2,18,287.892681286711
"781",1981,2,19,288.230762020572
"782",1981,2,20,288.244056019766
"783",1981,2,21,287.669871235942
"784",1981,2,22,287.319914061159
"785",1981,2,23,287.284543746557
"786",1981,2,24,287.009699218526
"787",1981,2,25,286.322169505807
"788",1981,2,26,286.076813906715
"789",1981,2,27,286.195766949217
"790",1981,2,28,286.182172726362
"791",1981,3,1,285.90961790539
"792",1981,3,2,285.426793802003
"793",1981,3,3,285.087503062936
"794",1981,3,4,284.729563126896
"795",1981,3,5,284.932138916686
"796",1981,3,6,285.113298280597
"797",1981,3,7,284.977808707101
"798",1981,3,8,285.268130716736
"799",1981,3,9,285.475199169117
"800",1981,3,10,285.630942879142
"801",1981,3,11,285.909620051681
"802",1981,3,12,286.286102171957
"803",1981,3,13,286.313623018929
"804",1981,3,14,286.440191868373
"805",1981,3,15,286.657040740631
"806",1981,3,16,286.730310841096
"807",1981,3,17,286.429550925454
"808",1981,3,18,285.780391019605
"809",1981,3,19,285.943398460975
"810",1981,3,20,286.122726490733
"811",1981,3,21,286.284241980249
"812",1981,3,22,286.758422499437
"813",1981,3,23,286.971042663798
"814",1981,3,24,287.456339305836
"815",1981,3,25,287.733401086828
"816",1981,3,26,287.829051214085
"817",1981,3,27,288.046437631684
"818",1981,3,28,288.446678357247
"819",1981,3,29,288.738201619243
"820",1981,3,30,288.745542276124
"821",1981,3,31,288.968201181041
"822",1981,4,1,289.428403447749
"823",1981,4,2,289.45901392004
"824",1981,4,3,289.375560880668
